07/16/2024			                                                                                                                         3 WAY MATCHING																													  1

3 WAY MATCHING

		Order date		Deliv. Date	A	Purch.Doc.	 Item	Material	Short Text	Cost Ctr	Profit Ctr	Scheduled Qty	OUn	Qty Delivered	OUn	   Quantity	OUn	Quantity in OPUn	OPU	 Amount in LC	Crcy	Crcy	HCt	MvT	D/C	Ref. Doc.	Vendor	Reference	Tx	G/L Acct	DCI		FIn

		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   135.000	CSE	      2,430.000	KG	  396,090.00		PHP	E	101	S	8001342640	2100907	DR# 7003	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   149.000	CSE	      2,682.000	KG	  441,859.50		PHP	E	102	H	8001356329	2100907		I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   149.000	CSE	      2,682.000	KG	  441,859.50		PHP	E	101	S	8001356329	2100907	DR# 7055	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   187.000	CSE	      3,366.000	KG	  548,658.00		PHP	E	101	S	8001335274	2100907	DR# 3588	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   200.000	CSE	      3,600.000	KG	  586,800.00		PHP	E	101	S	8001333783	2100907	DR# 3586	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   200.000	CSE	      3,600.000	KG	  586,800.00		PHP	E	101	S	8001337326	2100907	DR# 3589	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   200.000	CSE	      3,600.000	KG	  586,800.00		PHP	E	101	S	8001338629	2100907	DR# 3590	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   200.000	CSE	      3,600.000	KG	  586,800.00		PHP	E	101	S	8001340206	2100907	DR# 3592	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   200.000	CSE	      3,600.000	KG	  586,800.00		PHP	E	101	S	8001340555	2100907	DR# 3593	I1		X
		03/21/2024		04/01/2024		5100064239	00010	K0001567	MARINATED, CHICKEN CLASSIC (15BD/CSE)		EPW001	   5,200.000	CSE	   4,475.000	CSE	   200.000	CSE	      3,600.000	KG	  586,800.00		PHP	E	101	S	8001341719	2100907	DR# 3595	I1		X
